"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID"
"Alvin Kamara","NO","DET","RB","$8000","26.6","7.8","36%","15512493"
"Ezekiel Elliott","DAL","CLE","RB","$7800","24.5","6.1","28%","15512495"
"Deshaun Watson","HOU","MIN","QB","$6600","25.3","4.9","11%","15512432"
"DJ Moore","CAR","ARI","WR","$5600","18.4","4.4","28%","15512789"
"Tyler Lockett","SEA","MIA","WR","$7000","20.5","3.7","28%","15512743"
"Josh Allen","BUF","LV","QB","$7300","26.1","3.6","11%","15512428"
"Mike Davis","CAR","ARI","RB","$5700","17.8","3.5","19%","15512527"
"Dalvin Cook","MIN","HOU","RB","$7600","21.6","3.5","11%","15512497"
"Dak Prescott","DAL","CLE","QB","$7200","25.3","3.1","7%","15512429"
"Mike Evans","TB","LAC","WR","$6400","18.7","3.0","19%","15512765"
"Will Fuller V","HOU","MIN","WR","$5900","17.5","2.8","15%","15512779"
"Clyde Edwards-Helaire","KC","NE","RB","$6400","18.5","2.8","19%","15512513"
"Ryan Fitzpatrick","MIA","SEA","QB","$5400","19.6","2.8","11%","15512448"
"Cam Newton","NE","KC","QB","$6400","22.6","2.8","7%","15512434"
"Amari Cooper","DAL","CLE","WR","$6700","18.9","2.7","11%","15512755"
"Kyler Murray","ARI","CAR","QB","$7000","24.2","2.6","7%","15512430"
"Patrick Mahomes","KC","NE","QB","$7400","25.4","2.6","7%","15512427"
"Joe Mixon","CIN","JAX","RB","$5800","17.0","2.5","11%","15512525"
"Odell Beckham Jr.","CLE","DAL","WR","$5800","17.0","2.5","11%","15512783"
"Adam Thielen","MIN","HOU","WR","$6600","18.5","2.5","11%","15512759"
"Lamar Jackson","BAL","WAS","QB","$8100","27.3","2.4","7%","15512425"
"Brandin Cooks","HOU","MIN","WR","$4500","14.4","2.4","23%","15512837"
"Tyreek Hill","KC","NE","WR","$6900","19.1","2.4","7%","15512745"
"Kenny Golladay","DET","NO","WR","$6000","17.2","2.3","19%","15512777"
"DeAndre Hopkins","ARI","CAR","WR","$8500","22.0","2.2","3%","15512739"
"DK Metcalf","SEA","MIA","WR","$6800","18.7","2.2","23%","15512747"
"Matthew Stafford","DET","NO","QB","$5900","20.4","2.1","3%","15512439"
"Darren Waller","LV","BUF","TE","$5200","15.4","2.1","11%","15513101"
"Stefon Diggs","BUF","LV","WR","$6800","18.5","2.0","11%","15512749"
"Josh Jacobs","LV","BUF","RB","$6800","18.5","2.0","7%","15512507"
"Drew Brees","NO","DET","QB","$5800","20.0","2.0","1%","15512440"
"Ronald Jones II","TB","LAC","RB","$4700","14.3","2.0","11%","15512555"
"Jonathan Taylor","IND","CHI","RB","$6600","17.9","1.9","7%","15512509"
"Travis Kelce","KC","NE","TE","$6800","18.3","1.9","11%","15513093"
"Julian Edelman","NE","KC","WR","$5700","16.1","1.8","7%","15512787"
"Adam Trautman","NO","DET","TE","$2500","9.7","1.8","11%","15513295"
"Tre'Quan Smith","NO","DET","WR","$5000","14.6","1.7","1%","15512815"
"Darrell Henderson Jr.","LA","NYG","RB","$5800","16.1","1.6","11%","15512523"
"Robby Anderson","CAR","ARI","WR","$5400","15.2","1.5","7%","15512797"
"CeeDee Lamb","DAL","CLE","WR","$5400","15.0","1.3","7%","15512799"
"Hunter Henry","LAC","TB","TE","$4600","13.4","1.3","7%","15513109"
"Russell Wilson","SEA","MIA","QB","$7800","25.4","1.3","15%","15512426"
"T.Y. Hilton","IND","CHI","WR","$5300","14.7","1.2","7%","15512801"
"N'Keal Harry","NE","KC","WR","$4000","12.2","1.2","7%","15512869"
"Kenyan Drake","ARI","CAR","RB","$6000","16.0","1.1","11%","15512519"
"Keenan Allen","LAC","TB","WR","$6500","16.9","1.1","7%","15512761"
"Robert Woods","LA","NYG","WR","$6300","16.5","1.1","7%","15512767"
"Ravens ","BAL","WAS","DST","$4000","10.0","1.1","15%","15513305"
"David Johnson","HOU","MIN","RB","$5600","15.1","1.0","7%","15512531"
"Justin Jefferson","MIN","HOU","WR","$5200","14.3","1.0","7%","15512803"
"Daniel Jones","NYG","LA","QB","$5100","16.8","1.0","1%","15512452"
"Gardner Minshew II","JAX","CIN","QB","$5900","19.1","0.9","1%","15512438"
"Cooper Kupp","LA","NYG","WR","$6700","17.1","0.9","7%","15512751"
"Joe Burrow","CIN","JAX","QB","$6300","20.3","0.8","3%","15512435"
"Kirk Cousins","MIN","HOU","QB","$5600","18.2","0.8","1%","15512445"
"Teddy Bridgewater","CAR","ARI","QB","$5600","18.1","0.7","3%","15512446"
"James Robinson","JAX","CIN","RB","$6500","16.5","0.7","7%","15512511"
"Terry McLaurin","WAS","BAL","WR","$5800","15.2","0.7","1%","15512781"
"Buccaneers ","TB","LAC","DST","$3400","8.4","0.6","11%","15513311"
"Jarvis Landry","CLE","DAL","WR","$5100","13.4","0.3","7%","15512809"
"Myles Gaskin","MIA","SEA","RB","$5000","13.2","0.3","3%","15512543"
"Evan Engram","NYG","LA","TE","$4400","12.0","0.3","7%","15513111"
"Tom Brady","TB","LAC","QB","$6100","19.2","0.3","1%","15512436"
"Rams ","LA","NYG","DST","$3900","9.1","0.3","3%","15513306"
"Austin Ekeler","LAC","TB","RB","$7100","17.3","0.2","3%","15512501"
"Logan Thomas","WAS","BAL","TE","$3500","10.1","0.2","7%","15513131"
"Baker Mayfield","CLE","DAL","QB","$5800","18.1","0.1","3%","15512442"
"T.J. Hockenson","DET","NO","TE","$4800","12.5","0.0","7%","15513107"
"Jared Goff","LA","NYG","QB","$6700","20.8","0.0","3%","15512431"
"Allen Robinson II","CHI","IND","WR","$6700","16.2","-0.1","7%","15512753"
"Marvin Jones Jr.","DET","NO","WR","$4900","12.7","-0.1","3%","15512817"
"Hunter Renfrow","LV","BUF","WR","$4600","12.0","-0.1","3%","15512833"
"Chris Carson","SEA","MIA","RB","$6300","15.3","-0.1","1%","15512515"
"Sammy Watkins","KC","NE","WR","$4400","11.5","-0.2","3%","15512849"
"Derek Carr","LV","BUF","QB","$5300","16.3","-0.2","1%","15512450"
"DeVante Parker","MIA","SEA","WR","$5700","14.0","-0.3","7%","15512785"
"Darius Slayton","NYG","LA","WR","$5000","12.6","-0.3","3%","15512813"
"Colts ","IND","CHI","DST","$3300","7.2","-0.3","3%","15513313"
"A.J. Green","CIN","JAX","WR","$5500","13.5","-0.4","3%","15512793"
"Michael Gallup","DAL","CLE","WR","$6200","14.8","-0.4","7%","15512771"
"Philip Rivers","IND","CHI","QB","$5500","16.7","-0.4","1%","15512447"
"Damiere Byrd","NE","KC","WR","$3000","8.5","-0.5","3%","15512947"
"Bengals ","CIN","JAX","DST","$2900","6.2","-0.5","1%","15513320"
"Seahawks ","SEA","MIA","DST","$3400","7.3","-0.5","7%","15513312"
"Chiefs ","KC","NE","DST","$3200","6.6","-0.7","7%","15513315"
"Mark Andrews","BAL","WAS","TE","$6000","14.1","-0.8","7%","15513095"
"Bears ","CHI","IND","DST","$3100","6.2","-0.9","1%","15513317"
"John Brown","BUF","LV","WR","$5100","12.1","-1.0","3%","15512805"
"Tyler Boyd","CIN","JAX","WR","$6100","14.0","-1.0","7%","15512773"
"Mike Gesicki","MIA","SEA","TE","$5100","12.1","-1.0","7%","15513103"
"Panthers ","CAR","ARI","DST","$2700","5.3","-1.0","1%","15513324"
"Cowboys ","DAL","CLE","DST","$3300","6.5","-1.0","3%","15513314"
"Texans ","HOU","MIN","DST","$2500","5.0","-1.0","15%","15513326"
"Jaguars ","JAX","CIN","DST","$3000","5.9","-1.0","3%","15513318"
"Dalton Schultz","DAL","CLE","TE","$4300","10.4","-1.1","7%","15513113"
"KeeSean Johnson","ARI","CAR","WR","$3000","7.8","-1.2","0%","15513071"
"Curtis Samuel","CAR","ARI","WR","$4800","11.3","-1.3","3%","15512829"
"Marquise Brown","BAL","WAS","WR","$6300","14.0","-1.4","7%","15512769"
"Zach Pascal","IND","CHI","WR","$4400","10.4","-1.4","3%","15512855"
"Rob Gronkowski","TB","LAC","TE","$3600","8.8","-1.4","3%","15513127"
"Raiders ","LV","BUF","DST","$2700","5.0","-1.4","0%","15513323"
"David Montgomery","CHI","IND","RB","$5500","12.4","-1.5","7%","15512535"
"Kareem Hunt","CLE","DAL","RB","$6200","13.8","-1.5","1%","15512517"
"Vikings ","MIN","HOU","DST","$2800","5.1","-1.5","3%","15513322"
"Isaiah Ford","MIA","SEA","WR","$3700","8.8","-1.6","1%","15512891"
"Dolphins ","MIA","SEA","DST","$2000","3.4","-1.6","3%","15513330"
"Nelson Agholor","LV","BUF","WR","$3500","8.3","-1.7","1%","15512895"
"Nick Foles","CHI","IND","QB","$5700","15.9","-1.8","1%","15512444"
"Nick Chubb","CLE","DAL","RB","$7000","15.1","-1.8","7%","15512503"
"Keelan Cole","JAX","CIN","WR","$4500","10.1","-1.8","1%","15512845"
"Dwayne Haskins Jr.","WAS","BAL","QB","$5000","13.7","-1.8","1%","15512453"
"Cole Beasley","BUF","LV","WR","$4700","10.5","-1.9","3%","15512831"
"Emmanuel Sanders","NO","DET","WR","$4800","10.6","-1.9","7%","15512821"
"Cardinals ","ARI","CAR","DST","$3600","6.2","-1.9","1%","15513309"
"Chargers ","LAC","TB","DST","$2900","4.8","-1.9","1%","15513319"
"DJ Chark Jr.","JAX","CIN","WR","$6000","12.9","-2.0","3%","15512775"
"Justin Herbert","LAC","TB","QB","$5800","16.0","-2.0","1%","15512441"
"Malcolm Brown","LA","NYG","RB","$4700","10.3","-2.0","1%","15512553"
"O.J. Howard","TB","LAC","TE","$3300","7.6","-2.0","3%","15513145"
"Browns ","CLE","DAL","DST","$2300","3.6","-2.0","7%","15513327"
"Drew Sample","CIN","JAX","TE","$3500","7.8","-2.1","1%","15513137"
"Golden Tate","NYG","LA","WR","$4600","10.0","-2.1","3%","15512835"
"Antonio Gibson","WAS","BAL","RB","$4500","9.8","-2.1","1%","15512563"
"Andy Isabella","ARI","CAR","WR","$4500","9.7","-2.2","3%","15512843"
"Laviska Shenault Jr.","JAX","CIN","WR","$4400","9.6","-2.2","1%","15512851"
"WAS Football Team ","WAS","BAL","DST","$2100","3.0","-2.2","1%","15513329"
"Preston Williams","MIA","SEA","WR","$4500","9.6","-2.3","3%","15512839"
"Miles Boykin","BAL","WAS","WR","$4000","8.5","-2.4","1%","15512873"
"Dontrelle Inman","WAS","BAL","WR","$3700","8.0","-2.4","1%","15512887"
"Mark Ingram II","BAL","WAS","RB","$5700","11.8","-2.5","1%","15512529"
"Tee Higgins","CIN","JAX","WR","$4500","9.4","-2.5","3%","15512841"
"Austin Hooper","CLE","DAL","TE","$4000","8.5","-2.5","1%","15513119"
"Jimmy Graham","CHI","IND","TE","$3800","7.9","-2.6","3%","15513125"
"Mo Alie-Cox","IND","CHI","TE","$3900","8.1","-2.6","3%","15513121"
"Chris Conley","JAX","CIN","WR","$3700","7.6","-2.7","1%","15512889"
"Saints ","NO","DET","DST","$3500","5.3","-2.7","1%","15513310"
"Larry Fitzgerald","ARI","CAR","WR","$4400","9.0","-2.8","1%","15512847"
"Danny Amendola","DET","NO","WR","$4000","8.2","-2.8","1%","15512875"
"Deonte Harris","NO","DET","WR","$3400","6.9","-2.8","1%","15512909"
"Devin Singletary","BUF","LV","RB","$5900","11.7","-2.9","3%","15512521"
"D'Andre Swift","DET","NO","RB","$4300","8.7","-2.9","1%","15512571"
"Lions ","DET","NO","DST","$2200","2.5","-2.9","7%","15513328"
"Anthony Miller","CHI","IND","WR","$4900","9.6","-3.1","1%","15512819"
"Van Jefferson Jr.","LA","NYG","WR","$3000","5.9","-3.1","1%","15512983"
"Justin Watson","TB","LAC","WR","$3400","6.6","-3.1","1%","15512905"
"Giants ","NYG","LA","DST","$2600","3.1","-3.1","1%","15513325"
"J.K. Dobbins","BAL","WAS","RB","$4800","9.3","-3.2","1%","15512547"
"Jordan Akins","HOU","MIN","TE","$3300","6.4","-3.2","1%","15513143"
"Reece Fountain","IND","CHI","WR","$3000","5.7","-3.2","1%","15513077"
"Jalen Guyton","LAC","TB","WR","$3400","6.6","-3.2","1%","15512907"
"Will Dissly","SEA","MIA","TE","$2500","4.7","-3.3","1%","15513179"
"Darnell Mooney","CHI","IND","WR","$3000","5.5","-3.4","1%","15513081"
"Mecole Hardman","KC","NE","WR","$4300","8.1","-3.4","1%","15512857"
"Chase Edmonds","ARI","CAR","RB","$4200","7.8","-3.5","1%","15512577"
"Duke Johnson","HOU","MIN","RB","$4000","7.4","-3.5","1%","15512627"
"Nyheim Hines","IND","CHI","RB","$4700","8.8","-3.5","1%","15512557"
"Latavius Murray","NO","DET","RB","$4900","9.2","-3.5","1%","15512545"
"Irv Smith Jr.","MIN","HOU","TE","$2500","4.4","-3.6","1%","15513213"
"Bills ","BUF","LV","DST","$3700","4.7","-3.6","3%","15513308"
"Harrison Bryant","CLE","DAL","TE","$2500","4.2","-3.7","1%","15513225"
"Kyle Rudolph","MIN","HOU","TE","$3300","5.9","-3.7","1%","15513141"
"Dan Arnold","ARI","CAR","TE","$2700","4.6","-3.8","1%","15513169"
"Randall Cobb","HOU","MIN","WR","$4800","8.7","-3.8","1%","15512823"
"Zack Moss","BUF","LV","RB","$4300","7.7","-3.9","1%","15512573"
"Adrian Peterson","DET","NO","RB","$4700","8.4","-3.9","3%","15512559"
"Tyler Higbee","LA","NYG","TE","$5700","10.4","-3.9","3%","15513097"
"Josh Hill","NO","DET","TE","$2500","4.1","-3.9","1%","15513297"
"Chris Thompson","JAX","CIN","RB","$4100","7.1","-4.0","1%","15512587"
"Tyler Eifert","JAX","CIN","TE","$3500","5.9","-4.0","1%","15513135"
"Greg Olsen","SEA","MIA","TE","$4100","7.1","-4.0","1%","15513117"
"Ryan Izzo","NE","KC","TE","$2700","4.2","-4.1","1%","15513173"
"Kenny Stills","HOU","MIN","WR","$3200","5.1","-4.2","1%","15512917"
"Darren Fells","HOU","MIN","TE","$3200","5.2","-4.2","1%","15513147"
"Foster Moreau","LV","BUF","TE","$2500","3.7","-4.2","1%","15513195"
"J.D. McKissic","WAS","BAL","RB","$4000","6.8","-4.2","1%","15512703"
"Ian Thomas","CAR","ARI","TE","$3000","4.6","-4.3","1%","15513153"
"Nick Boyle","BAL","WAS","TE","$2800","4.2","-4.4","1%","15513163"
"LeSean McCoy","TB","LAC","RB","$4000","6.5","-4.4","1%","15512669"
"Tyler Johnson","TB","LAC","WR","$3200","4.9","-4.4","0%","15512921"
"Jack Doyle","IND","CHI","TE","$3500","5.5","-4.5","1%","15513129"
"Gerald Everett","LA","NYG","TE","$2500","3.4","-4.5","1%","15513207"
"Isaiah Wright","WAS","BAL","WR","$3000","4.5","-4.5","1%","15513051"
"Zay Jones","LV","BUF","WR","$3000","4.4","-4.6","1%","15512963"
"James White","NE","KC","RB","$5200","8.7","-4.6","1%","15512539"
"Kaden Smith","NYG","LA","TE","$2800","3.9","-4.6","1%","15513161"
"KhaDarel Hodge","CLE","DAL","WR","$3200","4.7","-4.7","1%","15512919"
"Gabriel Davis","BUF","LV","WR","$3200","4.5","-4.8","1%","15512923"
"David Moore","SEA","MIA","WR","$3400","4.9","-4.8","1%","15512903"
"Patriots ","NE","KC","DST","$3200","2.5","-4.9","1%","15513316"
"Joshua Kelley","LAC","TB","RB","$5100","8.1","-5.0","1%","15512541"
"Mike Thomas","CIN","JAX","WR","$3000","3.9","-5.1","1%","15513015"
"K.J. Hill","LAC","TB","WR","$3000","3.9","-5.1","1%","15513033"
"Jakeem Grant","MIA","SEA","WR","$3000","3.9","-5.1","1%","15512937"
"Cordarrelle Patterson","CHI","IND","WR","$3700","5.0","-5.3","1%","15512893"
"Dion Lewis","NYG","LA","RB","$4400","6.4","-5.3","1%","15512567"
"Jesse James","DET","NO","TE","$2500","2.6","-5.4","1%","15513301"
"Josh Reynolds","LA","NYG","WR","$4100","5.8","-5.4","1%","15512861"
"Rex Burkhead","NE","KC","RB","$4800","7.1","-5.4","1%","15512549"
"Devonta Freeman","NYG","LA","RB","$4800","7.1","-5.4","1%","15512551"
"Alexander Mattison","MIN","HOU","RB","$4000","5.5","-5.5","1%","15512619"
"Willie Snead IV","BAL","WAS","WR","$4000","5.4","-5.6","1%","15512871"
"Olabisi Johnson","MIN","HOU","WR","$3100","3.6","-5.6","1%","15512929"
"Cole Kmet","CHI","IND","TE","$2500","2.2","-5.7","0%","15513285"
"Dawson Knox","BUF","LV","TE","$3500","4.2","-5.8","1%","15513133"
"Gus Edwards","BAL","WAS","RB","$4000","5.0","-5.9","1%","15512697"
"Kerryon Johnson","DET","NO","RB","$4000","5.1","-5.9","1%","15512733"
"James O'Shaughnessy","JAX","CIN","TE","$3100","3.2","-5.9","1%","15513151"
"C.J. Board","NYG","LA","WR","$3000","3.1","-5.9","0%","15512975"
"Demarcus Robinson","KC","NE","WR","$3900","4.8","-6.0","1%","15512883"
"Virgil Green","LAC","TB","TE","$2500","2.0","-6.0","0%","15513253"
"Matt Breida","MIA","SEA","RB","$4000","4.9","-6.0","1%","15512661"
"Antonio Gandy-Golden","WAS","BAL","WR","$3100","3.1","-6.1","1%","15512933"
"Ashton Dulin","IND","CHI","WR","$3000","2.6","-6.3","1%","15513075"
"Sony Michel","NE","KC","RB","$4600","5.8","-6.3","1%","15512561"
"Freddie Swain","SEA","MIA","WR","$3000","2.7","-6.3","1%","15513019"
"Scotty Miller","TB","LAC","WR","$4100","4.8","-6.3","1%","15512863"
"Darrell Daniels","ARI","CAR","TE","$2500","1.6","-6.4","1%","15513279"
"Seth Roberts","CAR","ARI","WR","$3000","2.6","-6.4","1%","15513061"
"Chris Manhertz","CAR","ARI","TE","$2500","1.5","-6.4","0%","15513275"
"Javon Wims","CHI","IND","WR","$3000","2.4","-6.5","1%","15513083"
"Jason Witten","LV","BUF","TE","$2500","1.5","-6.5","0%","15513193"
"Demetrius Harris","CHI","IND","TE","$2500","1.3","-6.7","1%","15513287"
"Giovani Bernard","CIN","JAX","RB","$4400","5.0","-6.7","1%","15512569"
"Jalen Richard","LV","BUF","RB","$4300","4.8","-6.7","1%","15512575"
"Isaiah McKenzie","BUF","LV","WR","$3000","2.1","-6.8","1%","15512969"
"Cethan Carter","CIN","JAX","TE","$2500","1.2","-6.8","0%","15513231"
"Travis Homer","SEA","MIA","RB","$4000","4.2","-6.8","1%","15512653"
"Collin Johnson","JAX","CIN","WR","$3000","2.0","-6.9","0%","15513013"
"Devin Asiasi","NE","KC","TE","$2500","1.1","-6.9","0%","15513183"
"Adam Shaheen","MIA","SEA","TE","$2500","1.0","-7.0","0%","15513245"
"Cameron Brate","TB","LAC","TE","$2500","1.0","-7.0","0%","15513247"
"Cedrick Wilson","DAL","CLE","WR","$3200","2.1","-7.2","1%","15512925"
"Blake Bell","DAL","CLE","TE","$3100","1.9","-7.2","0%","15513149"
"Durham Smythe","MIA","SEA","TE","$2500","0.8","-7.2","0%","15513243"
"Chad Beebe","MIN","HOU","WR","$3000","1.7","-7.2","1%","15512993"
"Quintez Cephus","DET","NO","WR","$3000","1.7","-7.3","0%","15512939"
"Ke'Shawn Vaughn","TB","LAC","RB","$4000","3.6","-7.3","0%","15512671"
"Rashard Higgins","CLE","DAL","WR","$3000","1.6","-7.4","0%","15513007"
"Jordan Howard","MIA","SEA","RB","$4100","3.7","-7.4","1%","15512583"
"Carlos Hyde","SEA","MIA","RB","$5300","6.1","-7.4","1%","15512537"
"Marcus Baugh","WAS","BAL","TE","$2500","0.5","-7.5","0%","15513271"
"Devin Duvernay","BAL","WAS","WR","$3300","1.9","-7.6","1%","15512913"
"Jordan Wilkins","IND","CHI","RB","$4000","3.3","-7.6","1%","15512719"
"Jeremy Sprinkle","WAS","BAL","TE","$2500","0.4","-7.6","0%","15513269"
"Noah Togiai","IND","CHI","TE","$2500","0.3","-7.7","0%","15513283"
"Deon Yelder","KC","NE","TE","$2500","0.3","-7.7","0%","15513189"
"Nick Keizer","KC","NE","TE","$2500","0.3","-7.7","0%","15513187"
"Derek Carrier","LV","BUF","TE","$2500","0.3","-7.7","0%","15513197"
"Stephen Anderson","LAC","TB","TE","$2500","0.3","-7.7","0%","15513255"
"Wayne Gallman Jr.","NYG","LA","RB","$4500","4.2","-7.7","1%","15512565"
"Tyler Kroft","BUF","LV","TE","$3400","2.0","-7.8","1%","15513139"
"Tony Pollard","DAL","CLE","RB","$4100","3.4","-7.8","1%","15512589"
"Devontae Booker","LV","BUF","RB","$4000","3.1","-7.8","1%","15512605"
"Reggie Bonnafon","CAR","ARI","RB","$4000","3.0","-7.9","1%","15512709"
"Auden Tate","CIN","JAX","WR","$3000","1.0","-7.9","1%","15512943"
"Darrel Williams","KC","NE","RB","$4000","2.8","-8.2","1%","15512599"
"Darwin Thompson","KC","NE","RB","$4000","2.8","-8.2","1%","15512601"
"Jakobi Meyers","NE","KC","WR","$3000","0.8","-8.2","0%","15512949"
"Taysom Hill","NO","DET","QB","$4100","4.6","-8.2","0%","15512476"
"Jacob Hollister","SEA","MIA","TE","$2900","0.6","-8.2","0%","15513157"
"Noah Brown","DAL","CLE","WR","$3000","0.6","-8.4","0%","15513001"
"Marvin Hall","DET","NO","WR","$3100","0.7","-8.5","0%","15512927"
"Joe Reed","LAC","TB","WR","$3000","0.5","-8.5","0%","15513035"
"Byron Pringle","KC","NE","WR","$3000","0.3","-8.6","0%","15512961"
"Brandon Zylstra","CAR","ARI","WR","$3000","0.3","-8.7","0%","15513065"
"Keke Coutee","HOU","MIN","WR","$3000","0.3","-8.7","0%","15512941"
"DeAndre Carter","HOU","MIN","WR","$3000","0.3","-8.7","0%","15512997"
"Cam Sims","WAS","BAL","WR","$3000","0.2","-8.7","0%","15513053"
"Ryan Nall","CHI","IND","RB","$4200","2.5","-8.8","1%","15512581"
"J.J. Taylor","NE","KC","RB","$4000","1.9","-9.1","0%","15512595"
"Damion Ratley","NYG","LA","WR","$3100","0.0","-9.2","1%","15512935"
"Steven Sims Jr.","WAS","BAL","WR","$3400","0.2","-9.6","1%","15512899"
"Peyton Barber","WAS","BAL","RB","$4000","1.1","-9.8","1%","15512705"
"Patrick Ricard","BAL","WAS","RB","$4000","1.0","-10.0","0%","15512701"
,"CHI","IND",,"$","2.7","-10","0%",
,"DAL","CLE",,"$","0.2","-10","0%",
,"NO","DET",,"$","0.7","-10","0%",
"Alec Ingold","LV","BUF","RB","$4000","0.9","-10.1","0%","15512607"
"Patrick Laird","MIA","SEA","RB","$4000","0.8","-10.1","0%","15512663"
"C.J. Ham","MIN","HOU","RB","$4000","0.8","-10.1","0%","15512625"
"Alex Armah","CAR","ARI","RB","$4000","0.8","-10.2","0%","15512713"
"Andy Janovich","CLE","DAL","RB","$4000","0.6","-10.3","0%","15512641"
"Michael Burton","NO","DET","RB","$4000","0.4","-10.5","0%","15512731"
"D'Ernest Johnson","CLE","DAL","RB","$4000","0.2","-10.7","0%","15512639"
"Ty Johnson","DET","NO","RB","$4000","0.3","-10.7","0%","15512735"
"Anthony Sherman","KC","NE","RB","$4000","0.3","-10.7","0%","15512603"
