Week;Year;GID;Name;Pos;Team;h/a;Oppt;DK points;DK salary
6;2020;1518;Watson, Deshaun;QB;hou;a;ten;35;7000
6;2020;1301;Ryan, Matt;QB;atl;a;min;34.64;6600
6;2020;1410;Tannehill, Ryan;QB;ten;h;hou;33.56;5900
6;2020;1527;Jackson, Lamar;QB;bal;a;phi;31.24;7700
6;2020;1514;Wentz, Carson;QB;phi;h;bal;30.42;5600
6;2020;1415;Cousins, Kirk;QB;min;h;atl;29.72;6100
6;2020;1537;Murray, Kyler;QB;ari;a;dal;28.92;7300
6;2020;1231;Rivers, Philip;QB;ind;h;cin;28.74;5900
6;2020;1452;Garoppolo, Jimmy;QB;sfo;h;lar;23.52;5400
6;2020;1550;Burrow, Joe;QB;cin;a;ind;20.72;5400
6;2020;1523;Mahomes II, Patrick;QB;kan;a;buf;20.6;7800
6;2020;1378;Newton, Cam;QB;nwe;h;den;20.48;6500
6;2020;1540;Minshew, Gardner;QB;jac;h;det;20.12;6400
6;2020;1242;Fitzpatrick, Ryan;QB;mia;h;nyj;18.04;5900
6;2020;1536;Allen, Kyle;QB;was;a;nyg;18;5100
6;2020;1413;Foles, Nick;QB;chi;a;car;17.32;5800
6;2020;1529;Allen, Josh;QB;buf;h;kan;16.08;7900
6;2020;1490;Goff, Jared;QB;lar;a;sfo;15.92;6600
6;2020;1539;Jones, Daniel;QB;nyg;h;was;14.88;5400
6;2020;1131;Brady, Tom;QB;tam;h;gnb;14.64;6500
6;2020;1340;Stafford, Matthew;QB;det;a;jac;13.32;6300
6;2020;1403;Dalton, Andy;QB;dal;h;ari;13.04;5800
6;2020;1439;Bridgewater, Teddy;QB;car;h;chi;11.44;6000
6;2020;1232;Roethlisberger, Ben;QB;pit;h;cle;10.98;6700
6;2020;1528;Mayfield, Baker;QB;cle;a;pit;7.26;5700
6;2020;1302;Flacco, Joe;QB;nyj;a;mia;6.44;5100
6;2020;1252;Rodgers, Aaron;QB;gnb;a;tam;5.8;7500
6;2020;1547;Lock, Drew;QB;den;a;nwe;5.46;5400
6;2020;1554;Hurts, Jalen;QB;phi;h;bal;3.6;5000
6;2020;1435;Keenum, Case;QB;cle;a;pit;1.84;4700
6;2020;1551;Tagovailoa, Tua;QB;mia;h;nyj;0.36;5400
6;2020;1381;Gabbert, Blaine;QB;tam;h;gnb;0.2;4400
6;2020;1544;Boyle, Tim;QB;gnb;a;tam;0;4100
6;2020;1526;Rudolph, Mason;QB;pit;h;cle;-0.06;4800
6;2020;5445;Henry, Derrick;RB;ten;h;hou;43.4;7300
6;2020;5446;Drake, Kenyan;RB;ari;a;dal;31.4;5300
6;2020;5822;Swift, D'Andre;RB;det;a;jac;30.3;4500
6;2020;5617;Jones, Ronald;RB;tam;h;gnb;29.1;6000
6;2020;5818;Edwards-Helaire, Clyde;RB;kan;a;buf;23.9;6700
6;2020;5537;Conner, James;RB;pit;h;cle;20.2;7100
6;2020;5789;Gaskin, Myles;RB;mia;h;nyj;16.6;5400
6;2020;5820;Taylor, Jonathan;RB;ind;h;cin;15.5;6400
6;2020;2954;White, James;RB;nwe;h;den;15.3;4800
6;2020;5849;Robinson, James;RB;jac;h;det;15.3;6800
6;2020;5714;Sanders, Miles;RB;phi;h;bal;15.2;6600
6;2020;5535;Mixon, Joe;RB;cin;a;ind;14.9;6200
6;2020;5586;McKissic, J.D.;RB;was;a;nyg;14.4;4400
6;2020;5444;Elliott, Ezekiel;RB;dal;h;ari;14;8100
6;2020;5395;Johnson, David;RB;hou;a;ten;13.9;5400
6;2020;5713;Montgomery, David;RB;chi;a;car;13.7;5800
6;2020;5543;Jones, Aaron;RB;gnb;a;tam;13.1;7600
6;2020;5630;Lindsay, Phillip;RB;den;a;nwe;13.1;4300
6;2020;2553;Peterson, Adrian;RB;det;a;jac;12.8;4700
6;2020;5320;Davis, Mike;RB;car;h;chi;12.5;7000
6;2020;2889;Bernard, Giovani;RB;cin;a;ind;11.8;4000
6;2020;5708;Williams, Darrel;RB;kan;a;buf;11.1;4000
6;2020;2467;Gore, Frank;RB;nyj;a;mia;11;4000
6;2020;2992;Gurley, Todd;RB;atl;a;min;9.7;6300
6;2020;5414;Mostert, Raheem;RB;sfo;h;lar;9.6;6300
6;2020;5827;Gibson, Antonio;RB;was;a;nyg;9.5;5500
6;2020;5716;Henderson, Darrell;RB;lar;a;sfo;9.2;5600
6;2020;5740;Snell, Benny;RB;pit;h;cle;9.1;4000
6;2020;5681;Edwards, Gus;RB;bal;a;phi;8.6;4000
6;2020;5542;McNichols, Jeremy;RB;ten;h;hou;8.2;4000
6;2020;5560;Hunt, Kareem;RB;cle;a;pit;7.7;6900
6;2020;5623;Hines, Nyheim;RB;ind;h;cin;7.7;4000
6;2020;2930;Freeman, Devonta;RB;nyg;h;was;6.7;4900
6;2020;5718;Pollard, Tony;RB;dal;h;ari;6;4000
6;2020;5863;Perine, La'Mical;RB;nyj;a;mia;5.6;4000
6;2020;5717;Singletary, Devin;RB;buf;h;kan;5.5;5700
6;2020;5441;Brown, Malcolm;RB;lar;a;sfo;5.2;4600
6;2020;5821;Dobbins, J.K.;RB;bal;a;phi;4.9;4200
6;2020;2935;McKinnon, Jerick;RB;sfo;h;lar;4.8;4300
6;2020;5657;Cannon, Trenton;RB;car;h;chi;4.7;4000
6;2020;2915;Thompson, Chris;RB;jac;h;det;4.5;4000
6;2020;5608;Hill, Brian;RB;atl;a;min;4.4;4000
6;2020;5715;Harris, Damien;RB;nwe;h;den;4.3;5000
6;2020;5742;Johnson, Ty;RB;nyj;a;mia;4.2;4000
6;2020;5567;Breida, Matt;RB;mia;h;nyj;4.2;4100
6;2020;5823;Vaughn, Ke'Shawn;RB;tam;h;gnb;4.2;4000
6;2020;5720;Mattison, Alexander;RB;min;h;atl;4;7200
6;2020;5620;Freeman, Royce;RB;den;a;nwe;4;4000
6;2020;5619;Edmonds, Chase;RB;ari;a;dal;3.9;5200
6;2020;5865;Hasty, JaMycal;RB;sfo;h;lar;3.7;4000
6;2020;5658;Smith, Ito;RB;atl;a;min;3.5;4000
6;2020;5541;Williams, Jamaal;RB;gnb;a;tam;3.4;4000
6;2020;5825;Dillon, AJ;RB;gnb;a;tam;3.1;4000
6;2020;5621;Johnson, Kerryon;RB;det;a;jac;3;4000
6;2020;5624;Scott, Boston;RB;phi;h;bal;2.9;4000
6;2020;5683;Hilliard, Dontrell;RB;cle;a;pit;2.9;4000
6;2020;2997;Johnson, Duke;RB;hou;a;ten;2.1;4000
6;2020;5507;Barber, Peyton;RB;was;a;nyg;2;4000
6;2020;2816;Lewis, Dion;RB;nyg;h;was;2;4000
6;2020;2793;Ingram, Mark;RB;bal;a;phi;2;5100
6;2020;2995;Abdullah, Ameer;RB;min;h;atl;1.8;4000
6;2020;5864;McFarland, Anthony;RB;pit;h;cle;1.8;4000
6;2020;2908;Juszczyk, Kyle;RB;sfo;h;lar;1.8;4000
6;2020;5744;Thompson, Darwin;RB;kan;a;buf;1.7;4000
6;2020;2707;McCoy, LeSean;RB;tam;h;gnb;1.7;4000
6;2020;5662;Boone, Mike;RB;min;h;atl;1.5;4000
6;2020;2890;Burkhead, Rex;RB;nwe;h;den;1.4;4600
6;2020;5881;Dowdle, Rico;RB;dal;h;ari;1.3;4000
6;2020;5492;Smith, Keith;RB;atl;a;min;1.3;4000
6;2020;5788;Laird, Patrick;RB;mia;h;nyj;1.2;4000
6;2020;5824;Moss, Zack;RB;buf;h;kan;1;4000
6;2020;5746;Johnson, D'Ernest;RB;cle;a;pit;0.1;4000
6;2020;5688;Samuels, Jaylen;RB;pit;h;cle;0;4000
6;2020;5719;Hill, Justice;RB;bal;a;phi;0;4000
6;2020;5778;Johnson, Jakob;RB;nwe;h;den;0;4000
6;2020;5581;Ham, C.J.;RB;min;h;atl;0;4000
6;2020;2834;Miller, Bruce;RB;jac;h;det;0;4000
6;2020;5815;Nall, Ryan;RB;chi;a;car;0;4000
6;2020;5762;Gillaspia, Cullen;RB;hou;a;ten;0;4000
6;2020;5737;Cox, Chandler;RB;mia;h;nyj;0;4000
6;2020;5588;Penny, Elijhaa;RB;nyg;h;was;0;4000
6;2020;5851;Huntley, Jason;RB;phi;h;bal;0;4000
6;2020;5504;Watt, Derek;RB;pit;h;cle;0;4000
6;2020;5697;Ogunbowale, Dare;RB;jac;h;det;0;4000
6;2020;5644;Armah, Alex;RB;car;h;chi;0;4000
6;2020;5819;Akers, Cam;RB;lar;a;sfo;0;4800
6;2020;2820;Jones, Taiwan;RB;buf;h;kan;0;4000
6;2020;5448;Prosise, C.J.;RB;hou;a;ten;0;4000
6;2020;5538;Perine, Samaje;RB;cin;a;ind;0;4000
6;2020;5743;Ricard, Patrick;RB;bal;a;phi;0;4000
6;2020;5482;Janovich, Andy;RB;cle;a;pit;0;4000
6;2020;5583;Clement, Corey;RB;phi;h;bal;0;4000
6;2020;5547;Gallman, Wayne;RB;nyg;h;was;0;4000
6;2020;5625;Wilkins, Jordan;RB;ind;h;cin;-0.1;4000
6;2020;5835;Jefferson, Justin;WR;min;h;atl;42.6;6000
6;2020;5089;Jones, Julio;WR;atl;a;min;36.7;6700
6;2020;5454;Fuller, Will;WR;hou;a;ten;27.3;6800
6;2020;5570;Cole, Keelan;WR;jac;h;det;23.3;4900
6;2020;5636;Kirk, Christian;WR;ari;a;dal;22.6;4700
6;2020;5728;Brown, A.J.;WR;ten;h;hou;22.6;5600
6;2020;5255;Cooks, Brandin;WR;hou;a;ten;21.8;5000
6;2020;5839;Higgins, Tee;WR;cin;a;ind;21.7;4700
6;2020;5376;Cooper, Amari;WR;dal;h;ari;20.9;6800
6;2020;5809;Fulgham, Travis;WR;phi;h;bal;19.5;4400
6;2020;5631;Ridley, Calvin;WR;atl;a;min;18.9;7800
6;2020;5587;Johnson, Marcus;WR;ind;h;cin;18.8;0
6;2020;5412;Humphries, Adam;WR;ten;h;hou;18.4;4000
6;2020;5861;Claypool, Chase;WR;pit;h;cle;18.1;5200
6;2020;5726;Samuel, Deebo;WR;sfo;h;lar;18;4700
6;2020;5091;Green, A.J.;WR;cin;a;ind;17.6;3900
6;2020;5554;Golladay, Kenny;WR;det;a;jac;17.5;6200
6;2020;5651;Patrick, Tim;WR;den;a;nwe;17.1;4500
6;2020;5635;Washington, James;WR;pit;h;cle;16.8;4200
6;2020;5424;Diggs, Stefon;WR;buf;h;kan;16.6;6600
6;2020;5647;Pascal, Zach;WR;ind;h;cin;15.4;4700
6;2020;5163;Beasley, Cole;WR;buf;h;kan;14.5;4800
6;2020;5757;McLaurin, Terry;WR;was;a;nyg;14.4;5700
6;2020;5633;Moore, D.J.;WR;car;h;chi;14.3;5900
6;2020;5333;Thielen, Adam;WR;min;h;atl;14.1;7300
6;2020;5217;Woods, Robert;WR;lar;a;sfo;14;6200
6;2020;5831;Lamb, CeeDee;WR;dal;h;ari;13.4;6300
6;2020;5455;Boyd, Tyler;WR;cin;a;ind;12.9;5800
6;2020;5582;Reynolds, Josh;WR;lar;a;sfo;12.5;4100
6;2020;5263;Adams, Davante;WR;gnb;a;tam;12.1;8000
6;2020;5515;Robinson, Demarcus;WR;kan;a;buf;11.9;3300
6;2020;5767;Slayton, Darius;WR;nyg;h;was;11.8;5400
6;2020;5410;Crowder, Jamison;WR;nyj;a;mia;11.8;6100
6;2020;5502;Anderson, Robby;WR;car;h;chi;11.7;6300
6;2020;5659;Chark, D.J.;WR;jac;h;det;11.5;6300
6;2020;5125;Cobb, Randall;WR;hou;a;ten;10.7;4400
6;2020;5680;Gage, Russell;WR;atl;a;min;10.5;4800
6;2020;5258;Robinson, Allen;WR;chi;a;car;10.3;7000
6;2020;5379;Perriman, Breshad;WR;nyj;a;mia;10.2;4100
6;2020;5579;Godwin, Chris;WR;tam;h;gnb;9.8;6400
6;2020;5755;Williams, Preston;WR;mia;h;nyj;9.8;4700
6;2020;5730;Brown, Marquise;WR;bal;a;phi;9.7;6500
6;2020;5097;Inman, Dontrelle;WR;was;a;nyg;9.5;3600
6;2020;5206;Hopkins, DeAndre;WR;ari;a;dal;9.3;8200
6;2020;5830;Aiyuk, Brandon;WR;sfo;h;lar;9.2;4300
6;2020;5812;Sims, Cam;WR;was;a;nyg;9.2;3000
6;2020;5486;Grant, Jakeem;WR;mia;h;nyj;8.8;3000
6;2020;5475;Higgins, Rashard;WR;cle;a;pit;8.3;3000
6;2020;5732;Arcega-Whiteside, JJ;WR;phi;h;bal;8;3000
6;2020;5846;Johnson, Tyler;WR;tam;h;gnb;7.7;3400
6;2020;5335;Landry, Jarvis;WR;cle;a;pit;7;4900
6;2020;5531;Byrd, Damiere;WR;nwe;h;den;6.8;3500
6;2020;5759;Pringle, Byron;WR;kan;a;buf;6.6;3000
6;2020;5867;Wright, Isaiah;WR;was;a;nyg;6.6;3000
6;2020;5857;Mooney, Darnell;WR;chi;a;car;6.6;3000
6;2020;5380;Parker, DeVante;WR;mia;h;nyj;6.5;6300
6;2020;5598;Bourne, Kendrick;WR;sfo;h;lar;6.4;3700
6;2020;5656;Valdes-Scantling, Marquez;WR;gnb;a;tam;6.2;4600
6;2020;5520;Raymond, Kalif;WR;ten;h;hou;6.2;3200
6;2020;5841;Duvernay, Devin;WR;bal;a;phi;6.1;3000
6;2020;5856;Hightower, John;WR;phi;h;bal;6;3000
6;2020;5793;Ward, Greg;WR;phi;h;bal;5.9;4100
6;2020;5882;Harris, De'Michael;WR;ind;h;cin;5.9;0
6;2020;5485;Hill, Tyreek;WR;kan;a;buf;5.5;7100
6;2020;5832;Jeudy, Jerry;WR;den;a;nwe;5.2;5500
6;2020;3501;Fitzgerald, Larry;WR;ari;a;dal;5.2;3900
6;2020;3851;Amendola, Danny;WR;det;a;jac;5.1;4100
6;2020;5323;Beckham Jr., Odell;WR;cle;a;pit;4.5;6400
6;2020;3826;Edelman, Julian;WR;nwe;h;den;4.32;5600
6;2020;5634;Gallup, Michael;WR;dal;h;ari;4.3;5000
6;2020;5287;Snead, Willie;WR;bal;a;phi;4.2;3500
6;2020;5847;Shenault Jr., Laviska;WR;jac;h;det;4.1;5200
6;2020;5552;Kupp, Cooper;WR;lar;a;sfo;4.1;6500
6;2020;5632;Miller, Anthony;WR;chi;a;car;3.8;4300
6;2020;5855;Agnew, Jamal;WR;det;a;jac;3.7;3000
6;2020;5585;Brown, Noah;WR;dal;h;ari;3.5;3000
6;2020;5692;Beebe, Chad;WR;min;h;atl;3.3;3000
6;2020;5766;Wilson, Cedrick;WR;dal;h;ari;3;3100
6;2020;5641;Berrios, Braxton;WR;nyj;a;mia;2.8;3400
6;2020;5168;Jones, Marvin;WR;det;a;jac;2.8;5100
6;2020;5553;Smith-Schuster, JuJu;WR;pit;h;cle;2.6;6600
6;2020;5774;Shepherd, Darrius;WR;gnb;a;tam;2.6;3000
6;2020;5872;Zuber, Isaiah;WR;nwe;h;den;2.6;0
6;2020;5679;Batson, Cameron;WR;ten;h;hou;2.3;0
6;2020;5695;Kirkwood, Keith;WR;car;h;chi;2.3;3000
6;2020;5748;Boykin, Miles;WR;bal;a;phi;2.1;3800
6;2020;3995;Tate, Golden;WR;nyg;h;was;2.1;4600
6;2020;5151;Hilton, T.Y.;WR;ind;h;cin;2.1;5000
6;2020;5253;Evans, Mike;WR;tam;h;gnb;2;6900
6;2020;5503;Thomas, Mike;WR;cin;a;ind;2;3000
6;2020;5871;Westbrook, Nick;WR;ten;h;hou;2;3000
6;2020;5208;Patterson, Cordarrelle;WR;chi;a;car;1.9;3200
6;2020;5784;Board, C.J.;WR;nyg;h;was;1.8;3000
6;2020;5571;Taylor, Trent;WR;sfo;h;lar;1.8;3000
6;2020;5807;Smith, Jeff;WR;nyj;a;mia;1.8;3000
6;2020;5844;Jefferson, Van;WR;lar;a;sfo;1.8;3000
6;2020;5858;Davis, Gabriel;WR;buf;h;kan;1.7;3400
6;2020;5595;Hall, Marvin;WR;det;a;jac;1.7;3000
6;2020;5772;Miller, Scott;WR;tam;h;gnb;1.6;4200
6;2020;5385;Conley, Chris;WR;jac;h;det;1.6;3600
6;2020;5790;Blake, Christian;WR;atl;a;min;1.5;3000
6;2020;5574;McKenzie, Isaiah;WR;buf;h;kan;1.4;3000
6;2020;5880;Mack, Austin;WR;nyg;h;was;1.1;3000
6;2020;5765;Spencer, Diontae;WR;den;a;nwe;0.9;3000
6;2020;5862;Cleveland, Tyrie;WR;den;a;nwe;0;3000
6;2020;5578;Hollins, Mack;WR;mia;h;nyj;0;3000
6;2020;3670;Ginn Jr., Ted;WR;chi;a;car;0;3000
6;2020;5408;Roberts, Seth;WR;car;h;chi;0;3000
6;2020;5848;Bowden, Lynn;WR;mia;h;nyj;0;3000
6;2020;5640;Hamilton, DaeSean;WR;den;a;nwe;0;3000
6;2020;5677;Zylstra, Brandon;WR;car;h;chi;0;3000
6;2020;5689;Powell, Brandon;WR;atl;a;min;0;3000
6;2020;5752;Olszewski, Gunner;WR;nwe;h;den;0;3000
6;2020;5480;Erickson, Alex;WR;cin;a;ind;0;3000
6;2020;5558;Ross, John;WR;cin;a;ind;0;3000
6;2020;5836;Gandy-Golden, Antonio;WR;was;a;nyg;0;3000
6;2020;5672;St. Brown, Equanimeous;WR;gnb;a;tam;0;3700
6;2020;5699;Sherfield, Trent;WR;ari;a;dal;0;3000
6;2020;5845;Proche, James;WR;bal;a;phi;0;3000
6;2020;5879;Taylor, Malik;WR;gnb;a;tam;0;3000
6;2020;5462;Cooper, Pharoh;WR;car;h;chi;0;3000
6;2020;5874;Peoples-Jones, Donovan;WR;cle;a;pit;0;3000
6;2020;5600;Mickens, Jaydon;WR;tam;h;gnb;0;3000
6;2020;5747;Johnson, Olabisi;WR;min;h;atl;0;3000
6;2020;5264;Brown, John;WR;buf;h;kan;0;4900
6;2020;5724;Harry, N'Keal;WR;nwe;h;den;0;4500
6;2020;5671;Wims, Javon;WR;chi;a;car;0;3000
6;2020;5816;Grayson, Cyril;WR;tam;h;gnb;0;3000
6;2020;5555;Taylor, Taywan;WR;cle;a;pit;0;3000
6;2020;5653;Smith, Vyncint;WR;nyj;a;mia;0;3000
6;2020;5690;Watson, Justin;WR;tam;h;gnb;0;3000
6;2020;3978;Roberts, Andre;WR;buf;h;kan;0;3000
6;2020;5799;Zaccheaus, Olamide;WR;atl;a;min;0;3200
6;2020;3760;Slater, Matthew;WR;nwe;h;den;0;3000
6;2020;5654;Carter, DeAndre;WR;hou;a;ten;0;3000
6;2020;5674;James, Richie;WR;sfo;h;lar;0;3000
6;2020;5734;Isabella, Andy;WR;ari;a;dal;0;4300
6;2020;5727;Hardman, Mecole;WR;kan;a;buf;0;4400
6;2020;5706;Ford, Isaiah;WR;nwe;h;den;0;3500
6;2020;5665;McCloud, Ray-Ray;WR;pit;h;cle;0;3000
6;2020;5798;Dulin, Ashton;WR;ind;h;cin;0;3000
6;2020;5802;Webster, Nsimba;WR;lar;a;sfo;0;3000
6;2020;5860;Johnson, Collin;WR;jac;h;det;0;3000
6;2020;5212;Stills, Kenny;WR;hou;a;ten;0;3400
6;2020;4738;Firkser, Anthony;TE;ten;h;hou;28.3;2500
6;2020;4703;Kittle, George;TE;sfo;h;lar;26.9;6800
6;2020;4582;Kelce, Travis;TE;kan;a;buf;22.5;7200
6;2020;4618;Burton, Trey;TE;ind;h;cin;21.9;3100
6;2020;4609;Fells, Darren;TE;hou;a;ten;20.5;3800
6;2020;4494;Gronkowski, Rob;TE;tam;h;gnb;18.8;4400
6;2020;4720;Hurst, Hayden;TE;atl;a;min;15.7;4700
6;2020;4709;Shaheen, Adam;TE;mia;h;nyj;14.1;2500
6;2020;1463;Thomas, Logan;TE;was;a;nyg;13.2;3300
6;2020;4660;Boyle, Nick;TE;bal;a;phi;12.3;2700
6;2020;4757;Smith Jr., Irv;TE;min;h;atl;11.5;2500
6;2020;4594;Doyle, Jack;TE;ind;h;cin;10.9;2700
6;2020;4677;Hooper, Austin;TE;cle;a;pit;10.2;3900
6;2020;4778;Kmet, Cole;TE;chi;a;car;10;2500
6;2020;4749;Hockenson, T.J.;TE;det;a;jac;9.7;5300
6;2020;4680;Higbee, Tyler;TE;lar;a;sfo;8.6;4800
6;2020;4492;Graham, Jimmy;TE;chi;a;car;8.4;5000
6;2020;4537;Rudolph, Kyle;TE;min;h;atl;7.7;3700
6;2020;4742;Schultz, Dalton;TE;dal;h;ari;7.5;4500
6;2020;4737;Smythe, Durham;TE;mia;h;nyj;7.4;2500
6;2020;4569;Ertz, Zach;TE;phi;h;bal;7.3;5000
6;2020;4728;Croom, Jason;TE;phi;h;bal;7.3;0
6;2020;4789;Okwuegbunam, Albert;TE;den;a;nwe;6.5;2500
6;2020;4629;Rodgers, Richard;TE;phi;h;bal;6.1;2500
6;2020;4751;Izzo, Ryan;TE;nwe;h;den;5.8;2700
6;2020;4705;Everett, Gerald;TE;lar;a;sfo;5.7;3300
6;2020;4744;Tonyan, Robert;TE;gnb;a;tam;5.5;5100
6;2020;4701;Engram, Evan;TE;nyg;h;was;5;4900
6;2020;4753;Brown, Pharaoh;TE;hou;a;ten;4.8;2500
6;2020;4770;Smith, Kaden;TE;nyg;h;was;4.5;2600
6;2020;4721;Andrews, Mark;TE;bal;a;phi;4.1;6500
6;2020;4592;Griffin, Ryan;TE;nyj;a;mia;3.7;3000
6;2020;4668;Swaim, Geoff;TE;ten;h;hou;3;2500
6;2020;4601;Ebron, Eric;TE;pit;h;cle;2.9;4100
6;2020;4706;Smith, Jonnu;TE;ten;h;hou;2.3;5200
6;2020;4780;Bryant, Harrison;TE;cle;a;pit;2.1;2500
6;2020;4730;Thomas, Ian;TE;car;h;chi;1.9;2900
6;2020;4652;Kroft, Tyler;TE;buf;h;kan;1.7;2800
6;2020;4702;Njoku, David;TE;cle;a;pit;1.7;3600
6;2020;4688;Vannett, Nick;TE;den;a;nwe;1.7;3100
6;2020;4697;Manhertz, Chris;TE;car;h;chi;1.6;2500
6;2020;4653;James, Jesse;TE;det;a;jac;1.3;2500
6;2020;4648;Brate, Cameron;TE;tam;h;gnb;1.3;3500
6;2020;4786;Keizer, Nick;TE;kan;a;buf;1.2;2500
6;2020;4708;Daniels, Darrell;TE;ari;a;dal;1.1;2500
6;2020;4712;Seals-Jones, Ricky;TE;kan;a;buf;0;2800
6;2020;4768;Hudson, Tanner;TE;tam;h;gnb;0;2500
6;2020;4714;Sprinkle, Jeremy;TE;was;a;nyg;0;2500
6;2020;4722;Butt, Jake;TE;den;a;nwe;0;3000
6;2020;4765;Graham, Jaeden;TE;atl;a;min;0;2500
6;2020;4761;Beck, Andrew;TE;den;a;nwe;0;2500
6;2020;4785;Togiai, Noah;TE;ind;h;cin;0;2500
6;2020;4324;Lewis, Marcedes;TE;gnb;a;tam;0;2800
6;2020;4568;Eifert, Tyler;TE;jac;h;det;0;3400
6;2020;4759;Winchester, James;TE;kan;a;buf;0;2500
6;2020;4711;Carter, Cethan;TE;cin;a;ind;0;2500
6;2020;4664;O'Shaughnessy, James;TE;jac;h;det;0;3000
6;2020;4642;Harris, Demetrius;TE;chi;a;car;0;2500
6;2020;4719;Gesicki, Mike;TE;mia;h;nyj;0;5500
6;2020;4734;Herndon, Chris;TE;nyj;a;mia;0;3200
6;2020;4756;Sample, Drew;TE;cin;a;ind;0;3400
6;2020;4747;Mundt, Johnny;TE;lar;a;sfo;0;2500
6;2020;4535;Smith, Lee;TE;buf;h;kan;0;2500
6;2020;4763;Holtz, J.P.;TE;chi;a;car;0;2500
6;2020;4741;Arnold, Dan;TE;ari;a;dal;0;3000
6;2020;4790;Davis, Tyler;TE;jac;h;det;0;2500
6;2020;4731;Thomas, Jordan;TE;ari;a;dal;0;2500
6;2020;4779;Asiasi, Devin;TE;nwe;h;den;0;2500
6;2020;4666;Bell, Blake;TE;dal;h;ari;0;2800
6;2020;5733;Butler, Hakeem;TE;phi;h;bal;0;2500
6;2020;4764;Yelder, Deon;TE;kan;a;buf;0;2500
6;2020;4783;Gilliam, Reggie;TE;buf;h;kan;0;2500
6;2020;4577;Toilolo, Levine;TE;nyg;h;was;0;2500
6;2020;4532;Stocker, Luke;TE;atl;a;min;0;2500
6;2020;5436;Brown, Daniel;TE;nyj;a;mia;0;2500
6;2020;4769;Carlson, Stephen;TE;cle;a;pit;0;2500
6;2020;4773;Sternberger, Jace;TE;gnb;a;tam;0;2500
6;2020;4732;Conklin, Tyler;TE;min;h;atl;0;2500
6;2020;4572;McDonald, Vance;TE;pit;h;cle;0;2700
6;2020;4758;Wesco, Trevon;TE;nyj;a;mia;0;2500
6;2020;4745;Dwelley, Ross;TE;sfo;h;lar;0;2500
6;2020;7029;Tampa Bay;Def;tam;h;gnb;19;3100
6;2020;7024;Pittsburgh;Def;pit;h;cle;18;3600
6;2020;7016;Miami;Def;mia;h;nyj;15;2900
6;2020;7001;Arizona;Def;ari;a;dal;15;3000
6;2020;7010;Denver;Def;den;a;nwe;14;3500
6;2020;7020;New York G;Def;nyg;h;was;14;3200
6;2020;7006;Chicago;Def;chi;a;car;11;3400
6;2020;7002;Atlanta;Def;atl;a;min;7;2200
6;2020;7018;New England;Def;nwe;h;den;7;4100
6;2020;7003;Baltimore;Def;bal;a;phi;7;4500
6;2020;7021;New York J;Def;nyj;a;mia;6;2400
6;2020;7011;Detroit;Def;det;a;jac;6;3000
6;2020;7027;San Francisco;Def;sfo;h;lar;5;3100
6;2020;7007;Cincinnati;Def;cin;a;ind;4;2100
6;2020;7032;Houston;Def;hou;a;ten;4;2700
6;2020;7031;Washington;Def;was;a;nyg;4;3300
6;2020;7013;Indianapolis;Def;ind;h;cin;4;4000
6;2020;7004;Buffalo;Def;buf;h;kan;3;2600
6;2020;7015;Kansas City;Def;kan;a;buf;3;2500
6;2020;7023;Philadelphia;Def;phi;h;bal;2;2600
6;2020;7005;Carolina;Def;car;h;chi;2;2900
6;2020;7014;Jacksonville;Def;jac;h;det;1;2800
6;2020;7008;Cleveland;Def;cle;a;pit;1;2700
6;2020;7025;LA Rams;Def;lar;a;sfo;0;3500
6;2020;7017;Minnesota;Def;min;h;atl;0;2300
6;2020;7012;Green Bay;Def;gnb;a;tam;-1;3700
6;2020;7030;Tennessee;Def;ten;h;hou;-2;2800
6;2020;7009;Dallas;Def;dal;h;ari;-3;2800
