PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,FPTS,FPTS/$,FLOOR,CEIL
328793,Justin Watson,3000.00,GBP,WR,TBB,72651,2.11,0.7,-0.1,6.8
18458,James White,4800.00,DEN,RB,NEP,72888,10.10,2.1,3.6,17.8
328488,Jordan Wilkins,4000.00,CIN,RB,IND,72654,4.09,1.02,0.4,9.6
36872,Jamaal Williams,4000.00,TBB,RB,GBP,72651,8.44,2.11,2.1,15.1
329007,Jeff Wilson,4000.00,LAR,RB,SFO,72657,4.24,1.06,0.2,10.1
328210,Javon Wims,3000.00,CAR,WR,CHI,72656,1.12,0.37,-0.1,4.9
328736,Kyle Allen,5100.00,NYG,QB,WAS,72653,15.63,3.06,8.0,23.5
982177,Khari Blasingame,4500.00,HOU,RB,TEN,72652,0.01,0.0,-0.1,4.3
37068,Kendrick Bourne,3700.00,LAR,WR,SFO,72657,5.60,1.51,1.5,11.3
36940,Keelan Cole,4900.00,DET,WR,JAC,72659,9.69,1.98,3.7,16.1
13563,Kirk Cousins,6100.00,ATL,QB,MIN,72655,21.16,3.47,13.3,29.4
35482,Kenyan Drake,5300.00,DAL,RB,ARI,72658,12.44,2.35,4.5,21.0
36865,Kenny Golladay,6200.00,JAC,WR,DET,72659,15.88,2.56,8.1,24.0
37015,Kareem Hunt,6900.00,PIT,RB,CLE,72660,16.13,2.34,6.9,26.4
982783,KeeSean Johnson,3000.00,DAL,WR,ARI,72658,0.21,0.07,-0.1,4.2
328243,Kerryon Johnson,4000.00,JAC,RB,DET,72659,5.26,1.32,0.6,11.5
18516,Kyle Juszczyk,4000.00,LAR,RB,SFO,72657,3.30,0.83,0.2,8.5
973153,Kyler Murray,7300.00,DAL,QB,ARI,72658,28.38,3.89,17.2,40.5
35608,Kalif Raymond,3200.00,HOU,WR,TEN,72652,6.62,2.07,1.8,12.1
11837,Kyle Rudolph,3700.00,ATL,TE,MIN,72655,5.85,1.58,2.0,10.6
982844,Kaden Smith,2600.00,WAS,TE,NYG,72653,2.66,1.02,0.1,6.5
35717,Keith Smith,4000.00,MIN,RB,ATL,72655,1.31,0.33,-0.1,5.6
16577,Kenny Stills,3400.00,TEN,WR,HOU,72652,5.78,1.7,1.8,10.8
1844803,Ke'Shawn Vaughn,4000.00,GBP,RB,TBB,72651,4.43,1.11,0.4,10.1
21598,Kevin White,200.00,LAR,WR,SFO,72657,0.12,0.6,-0.1,3.9
12162,Larry Fitzgerald,3900.00,DAL,WR,ARI,72658,9.67,2.48,4.3,16.3
36941,Leonard Fournette,5000.00,GBP,RB,TBB,72651,3.16,0.63,-0.1,8.0
328097,Lamar Jackson,7700.00,PHI,QB,BAL,72663,25.25,3.28,14.0,37.2
11671,LeSean McCoy,4000.00,GBP,RB,TBB,72651,3.70,0.93,0.6,9.1
1844427,La'Mical Perine,4000.00,MIA,RB,NYJ,72887,5.87,1.47,1.1,12.3
1844522,Laviska Shenault,5200.00,DET,WR,JAC,72659,11.89,2.29,4.7,18.9
13123,Lee Smith,2500.00,KCC,TE,BUF,72662,1.87,0.75,-0.1,5.7
13126,Luke Stocker,2500.00,MIN,TE,ATL,72655,0.52,0.21,-0.1,3.6
18363,Logan Thomas,3300.00,NYG,TE,WAS,72653,7.23,2.19,2.9,12.0
16631,Levine Toilolo,2500.00,WAS,TE,NYG,72653,0.29,0.12,-0.1,3.4
328096,Mark Andrews,6500.00,PHI,TE,BAL,72663,14.09,2.17,7.5,21.2
328883,Marcus Baugh,2500.00,NYG,TE,WAS,72653,0.47,0.19,-0.1,3.6
328302,Mike Boone,4000.00,ATL,RB,MIN,72655,5.63,1.41,0.7,12.4
981968,Miles Boykin,3800.00,PHI,WR,BAL,72663,6.11,1.61,1.6,11.4
37060,Matt Breida,4100.00,NYJ,RB,MIA,72887,5.59,1.36,0.9,11.7
21789,Malcolm Brown,4600.00,SFO,RB,LAR,72657,8.01,1.74,1.3,15.7
972489,Marquise Brown,6500.00,PHI,WR,BAL,72663,14.48,2.23,7.2,22.6
21794,Mike Davis,7000.00,CHI,RB,CAR,72656,21.93,3.13,10.7,33.6
18287,Mike Evans,6900.00,GBP,WR,TBB,72651,15.56,2.26,8.1,24.0
328582,Michael Gallup,5000.00,ARI,WR,DAL,72658,13.39,2.68,7.0,20.5
982233,Myles Gaskin,5400.00,NYJ,RB,MIA,72887,17.04,3.16,6.8,27.6
328364,Mike Gesicki,5500.00,NYJ,TE,MIA,72887,9.28,1.69,4.0,15.1
35624,Marvin Hall,3000.00,JAC,WR,DET,72659,0.27,0.09,-0.1,4.0
982694,Mecole Hardman,4400.00,BUF,WR,KCC,72662,10.72,2.44,4.3,17.7
36971,Mack Hollins,3000.00,NYJ,WR,MIA,72887,0.19,0.06,-0.1,3.9
11706,Mark Ingram,5100.00,PHI,RB,BAL,72663,8.84,1.73,2.5,16.2
35553,Marcus Johnson,4500.00,CIN,WR,IND,72654,5.74,1.28,1.4,11.2
13592,Marvin Jones,5100.00,JAC,WR,DET,72659,11.45,2.25,4.9,18.9
11792,Marcedes Lewis,2800.00,TBB,TE,GBP,72651,1.31,0.47,-0.1,4.3
11614,Matt Ryan,6600.00,MIN,QB,ATL,72655,20.61,3.12,13.6,28.4
982481,Miles Sanders,6600.00,BAL,RB,PHI,72663,18.03,2.73,8.7,27.6
11613,Matthew Stafford,6300.00,JAC,QB,DET,72659,20.00,3.17,11.8,28.3
982633,Malik Taylor,3000.00,TBB,WR,GBP,72651,1.32,0.44,-0.1,5.2
35674,Mike Thomas,3000.00,IND,WR,CIN,72654,3.81,1.27,0.5,8.8
328275,Marquez Valdes-Scantling,4600.00,TBB,WR,GBP,72651,8.74,1.9,3.3,15.1
21560,Nick Boyle,2700.00,PHI,TE,BAL,72663,3.00,1.11,0.2,6.9
36957,Noah Brown,3000.00,ARI,WR,DAL,72658,3.15,1.05,0.0,7.8
13561,Nick Foles,5800.00,CAR,QB,CHI,72656,17.03,2.94,10.3,24.3
972721,N'Keal Harry,4500.00,DEN,WR,NEP,72888,10.32,2.29,4.1,17.2
328494,Nyheim Hines,4000.00,CIN,RB,IND,72654,10.57,2.64,3.5,19.1
328093,Nick Keizer,2500.00,BUF,TE,KCC,72662,0.72,0.29,-0.1,3.8
1844649,Noah Togiai,2500.00,CIN,TE,IND,72654,0.54,0.22,-0.1,3.6
35685,Nick Vannett,3100.00,NEP,TE,DEN,72888,3.92,1.26,0.8,7.9
2184953,Nick Westbrook-Ikhine,3000.00,HOU,WR,TEN,72652,0.56,0.19,-0.1,4.4
18222,Odell Beckham,6400.00,PIT,WR,CLE,72660,14.96,2.34,7.3,22.2
982175,Olabisi Johnson,3000.00,ATL,WR,MIN,72655,3.36,1.12,0.1,8.2
982543,Olamide Zaccheaus,3200.00,MIN,WR,ATL,72655,4.90,1.53,1.2,9.8
35603,Peyton Barber,4000.00,NYG,RB,WAS,72653,2.30,0.58,-0.1,7.3
37028,Pharaoh Brown,2500.00,TEN,TE,HOU,72652,1.90,0.76,-0.1,5.9
35666,Pharoh Cooper,3000.00,CHI,WR,CAR,72656,0.63,0.21,-0.1,4.4
1104969,Patrick Laird,4000.00,NYJ,RB,MIA,72887,0.26,0.07,-0.1,4.4
328830,Phillip Lindsay,4300.00,NEP,RB,DEN,72888,13.05,3.03,5.3,21.3
37022,Patrick Mahomes,7800.00,BUF,QB,KCC,72662,24.25,3.11,14.9,34.2
523069,Patrick Ricard,4000.00,PHI,RB,BAL,72663,1.34,0.34,-0.1,5.5
11603,Philip Rivers,5900.00,CIN,QB,IND,72654,17.27,2.93,10.4,24.5
982232,Preston Williams,4700.00,NYJ,WR,MIA,72887,9.90,2.11,4.1,17.0
1844245,Quintez Cephus,3000.00,JAC,WR,DET,72659,1.14,0.38,-0.1,4.9
1844642,Quez Watkins,3000.00,BAL,WR,PHI,72663,0.15,0.05,-0.1,4.0
35503,Robby Anderson,6300.00,CHI,WR,CAR,72656,17.25,2.74,9.4,25.1
18047,Rex Burkhead,4600.00,DEN,RB,NEP,72888,7.84,1.7,1.6,15.2
12905,Randall Cobb,4400.00,TEN,WR,HOU,72652,10.98,2.5,5.1,17.5
329008,Ross Dwelley,2500.00,LAR,TE,SFO,72657,1.58,0.63,-0.1,4.7
11626,Ryan Fitzpatrick,5900.00,NYJ,QB,MIA,72887,21.89,3.71,11.7,32.7
328829,Royce Freeman,4000.00,NEP,RB,DEN,72888,9.22,2.31,3.0,16.5
328706,Russell Gage,4800.00,MIN,WR,ATL,72655,10.42,2.17,4.4,16.6
1844335,Reggie Gilliam,2500.00,KCC,TE,BUF,72662,0.39,0.16,-0.1,4.5
18552,Ryan Griffin,3000.00,MIA,TE,NYJ,72887,1.85,0.62,-0.1,5.8
11791,Rob Gronkowski,4400.00,GBP,TE,TBB,72651,8.31,1.89,3.6,13.9
35427,Rashard Higgins,3000.00,PIT,WR,CLE,72660,3.09,1.03,0.0,7.8
328395,Ryan Izzo,2700.00,DEN,TE,NEP,72888,1.41,0.52,-0.1,4.5
328794,Ronald Jones,6000.00,GBP,RB,TBB,72651,15.85,2.64,6.6,24.8
328333,Ray-Ray McCloud,3000.00,CLE,WR,PIT,72660,4.55,1.52,1.4,10.2
21702,Raheem Mostert,6300.00,LAR,RB,SFO,72657,12.55,1.99,4.9,20.4
328211,Ryan Nall,4000.00,CAR,RB,CHI,72656,0.75,0.19,-0.1,4.9
18108,Richard Rodgers,2500.00,BAL,TE,PHI,72663,3.07,1.23,0.4,7.3
13557,Ryan Tannehill,5900.00,HOU,QB,TEN,72652,21.68,3.67,13.1,31.3
36860,Robert Tonyan,5100.00,TBB,TE,GBP,72651,9.45,1.85,4.2,14.7
16566,Robert Woods,6200.00,SFO,WR,LAR,72657,14.09,2.27,6.8,21.7
982024,Stephen Carlson,2500.00,PIT,TE,CLE,72660,0.05,0.02,-0.1,3.1
21625,Stefon Diggs,6600.00,KCC,WR,BUF,72662,17.56,2.66,9.8,26.3
982629,Scotty Miller,4200.00,GBP,WR,TBB,72651,4.19,1.0,0.5,9.1
18329,Seth Roberts,3000.00,CHI,WR,CAR,72656,2.61,0.87,0.0,7.6
35418,Tyler Boyd,5800.00,IND,WR,CIN,72654,14.58,2.51,8.0,22.0
11604,Tom Brady,6500.00,GBP,QB,TBB,72651,22.04,3.39,14.1,30.5
18114,Teddy Bridgewater,6000.00,CHI,QB,CAR,72656,18.48,3.08,11.0,27.1
18233,Trey Burton,3100.00,CIN,TE,IND,72654,8.53,2.75,3.9,13.4
328426,Trenton Cannon,4000.00,CHI,RB,CAR,72656,2.57,0.64,-0.1,7.9
1844834,Tyrie Cleveland,3000.00,NEP,WR,DEN,72888,0.48,0.16,-0.1,4.3
328304,Tyler Conklin,2500.00,ATL,TE,MIN,72655,0.26,0.1,-0.1,3.4
1844521,Tyler Davis,2500.00,DET,TE,JAC,72659,0.06,0.02,-0.1,3.1
16536,Tyler Eifert,3400.00,DET,TE,JAC,72659,6.26,1.84,2.1,10.7
982110,Travis Fulgham,4400.00,BAL,WR,PHI,72663,11.42,2.6,5.5,18.2
18364,Ted Ginn,3000.00,CAR,WR,CHI,72656,1.49,0.5,-0.1,5.4
21785,Todd Gurley,6300.00,MIN,RB,ATL,72655,12.53,1.99,4.6,21.7
35672,Temarrick Hemingway,4000.00,NYG,TE,WAS,72653,0.12,0.03,-0.1,3.4
35670,Tyler Higbee,4800.00,SFO,TE,LAR,72657,7.58,1.58,2.8,12.6
1844128,Tee Higgins,4700.00,IND,WR,CIN,72654,11.93,2.54,5.6,18.6
35616,Tyreek Hill,7100.00,BUF,WR,KCC,72662,16.77,2.36,8.0,25.7
13641,T.Y. Hilton,5000.00,CIN,WR,IND,72654,13.46,2.69,6.6,20.7
972605,T.J. Hockenson,5300.00,JAC,TE,DET,72659,8.32,1.57,3.5,13.7
328798,Tanner Hudson,2500.00,GBP,TE,TBB,72651,1.53,0.61,-0.1,5.4
982111,Ty Johnson,4000.00,MIA,RB,NYJ,72887,2.80,0.7,0.0,7.3
1844805,Tyler Johnson,3400.00,GBP,WR,TBB,72651,0.92,0.27,-0.1,4.8
18314,Travis Kelce,7200.00,BUF,TE,KCC,72662,16.87,2.34,9.5,24.1
21563,Tyler Kroft,2800.00,KCC,TE,BUF,72662,5.93,2.12,1.8,10.3
982511,Terry McLaurin,5700.00,NYG,WR,WAS,72653,16.85,2.96,9.2,24.5
36825,Tim Patrick,4500.00,NEP,WR,DEN,72888,10.62,2.36,4.8,17.1
982431,Tony Pollard,4000.00,ARI,RB,DAL,72658,5.29,1.32,0.7,11.9
328944,Trent Sherfield,3000.00,DAL,WR,ARI,72658,0.23,0.08,-0.1,4.0
37066,Trent Taylor,3000.00,LAR,WR,SFO,72657,1.36,0.45,-0.1,5.9
982287,Trevon Wesco,2500.00,MIA,TE,NYJ,72887,0.69,0.28,-0.1,4.8
21675,T.J. Yeldon,4000.00,KCC,RB,BUF,72662,0.08,0.02,-0.1,4.4
1849783,Van Jefferson,3000.00,SFO,WR,LAR,72657,2.90,0.97,-0.1,7.8
16585,Vance McDonald,2700.00,CLE,TE,PIT,72660,3.52,1.3,0.5,7.3
328463,Vyncint Smith,3000.00,MIA,WR,NYJ,72887,0.26,0.09,-0.1,4.1
35508,Will Fuller,6800.00,TEN,WR,HOU,72652,16.79,2.47,9.0,24.9
36967,Wayne Gallman,4000.00,WAS,RB,NYG,72653,4.69,1.17,0.3,10.9
18053,Willie Snead,3500.00,PHI,WR,BAL,72663,5.59,1.6,1.3,11.0
16583,Zach Ertz,5000.00,BAL,TE,PHI,72663,11.97,2.39,6.4,18.0
1844333,Zack Moss,4000.00,KCC,RB,BUF,72662,6.53,1.63,1.1,13.3
36978,Zach Pascal,4700.00,CIN,WR,IND,72654,9.86,2.1,3.9,16.1
18446,Baltimore Ravens,4500.00,PHI,DST,BAL,72663,8.34,1.85,3.0,13.5
18427,Indianapolis Colts,4000.00,CIN,DST,IND,72654,8.34,2.09,2.8,13.9
18430,Miami Dolphins,2900.00,NYJ,DST,MIA,72887,7.88,2.72,2.1,13.2
18432,New England Patriots,4100.00,DEN,DST,NEP,72888,7.61,1.86,2.2,13.1
18434,New York Giants,3200.00,WAS,DST,NYG,72653,6.83,2.13,1.8,12.5
18438,Pittsburgh Steelers,3600.00,CLE,DST,PIT,72660,6.52,1.81,1.5,12.0
18418,Carolina Panthers,2900.00,CHI,DST,CAR,72656,6.51,2.24,1.7,12.2
18442,Los Angeles Rams,3500.00,SFO,DST,LAR,72657,6.33,1.81,1.7,12.1
18419,Chicago Bears,3400.00,CAR,DST,CHI,72656,5.86,1.72,1.1,10.6
18444,Tennessee Titans,2800.00,HOU,DST,TEN,72652,5.83,2.08,1.2,11.4
18431,Minnesota Vikings,2300.00,ATL,DST,MIN,72655,5.67,2.47,1.2,11.3
18445,Washington Football Team,3300.00,NYG,DST,WAS,72653,5.51,1.67,1.1,10.4
18425,Green Bay Packers,3700.00,TBB,DST,GBP,72651,5.37,1.45,1.0,11.4
18422,Dallas Cowboys,2800.00,ARI,DST,DAL,72658,5.35,1.91,1.4,11.2
18429,Kansas City Chiefs,2500.00,BUF,DST,KCC,72662,5.34,2.14,0.8,11.0
18424,Detroit Lions,3000.00,JAC,DST,DET,72659,5.12,1.71,0.8,10.8
18421,Cleveland Browns,2700.00,PIT,DST,CLE,72660,4.86,1.8,0.7,10.5
18415,Arizona Cardinals,3000.00,DAL,DST,ARI,72658,4.77,1.59,0.8,10.6
18420,Cincinnati Bengals,2100.00,IND,DST,CIN,72654,4.62,2.2,0.4,10.4
18443,Tampa Bay Buccaneers,3100.00,GBP,DST,TBB,72651,4.51,1.45,1.0,9.8
18428,Jacksonville Jaguars,2800.00,DET,DST,JAC,72659,4.28,1.53,0.7,9.4
18423,Denver Broncos,3500.00,NEP,DST,DEN,72888,4.19,1.2,0.5,9.1
18426,Houston Texans,2700.00,TEN,DST,HOU,72652,4.12,1.53,0.5,9.2
18440,San Francisco 49ers,3100.00,LAR,DST,SFO,72657,4.04,1.3,0.0,9.0
18437,Philadelphia Eagles,2600.00,BAL,DST,PHI,72663,3.68,1.42,0.4,8.8
18435,New York Jets,2400.00,MIA,DST,NYJ,72887,3.68,1.53,0.0,8.9
18417,Buffalo Bills,2600.00,KCC,DST,BUF,72662,3.67,1.41,0.1,8.6
18416,Atlanta Falcons,2200.00,MIN,DST,ATL,72655,3.65,1.66,0.3,8.9
328361,Jason Sanders,3600.00,NYJ,K,MIA,72887,8.50,2.36,&nbsp;,&nbsp;
13611,Justin Tucker,9000.00,PHI,K,BAL,72663,8.47,0.94,&nbsp;,&nbsp;
36996,,,,,,,8.43,0.0,&nbsp;,&nbsp;
13163,Dan Bailey,4200.00,ATL,K,MIN,72655,8.27,1.97,&nbsp;,&nbsp;
11545,,,,,,,8.24,0.0,&nbsp;,&nbsp;
1844484,,,,,,,8.23,0.0,&nbsp;,&nbsp;
11559,Matt Prater,4400.00,JAC,K,DET,72659,8.16,1.85,&nbsp;,&nbsp;
11555,,,,,,,8.15,0.0,&nbsp;,&nbsp;
1849792,Sam Sloman,4000.00,SFO,K,LAR,72657,8.08,2.02,&nbsp;,&nbsp;
18159,Chris Boswell,4200.00,CLE,K,PIT,72660,8.05,1.92,&nbsp;,&nbsp;
11537,Mason Crosby,3800.00,TBB,K,GBP,72651,7.99,2.1,&nbsp;,&nbsp;
36842,,,,,,,7.96,0.0,&nbsp;,&nbsp;
11547,Ryan Succop,3600.00,GBP,K,TBB,72651,7.77,2.16,&nbsp;,&nbsp;
13602,,,,,,,7.74,0.0,&nbsp;,&nbsp;
1844329,,,,,,,7.54,0.0,&nbsp;,&nbsp;
14020,,,,,,,7.51,0.0,&nbsp;,&nbsp;
&nbsp;,,,,,,,7.49,0.0,&nbsp;,&nbsp;
1001711,,,,,,,7.42,0.0,&nbsp;,&nbsp;
11550,Robbie Gould,3800.00,LAR,K,SFO,72657,7.41,1.95,&nbsp;,&nbsp;
37033,Younghoe Koo,4000.00,MIN,K,ATL,72655,7.38,1.85,&nbsp;,&nbsp;
35506,,,,,,,7.35,0.0,&nbsp;,&nbsp;
18232,Cody Parkey,4000.00,PIT,K,CLE,72660,7.27,1.82,&nbsp;,&nbsp;
18324,,,,,,,7.20,0.0,&nbsp;,&nbsp;
18120,,,,,,,6.95,0.0,&nbsp;,&nbsp;
16620,,,,,,,6.55,0.0,&nbsp;,&nbsp;
18228,,,,,,,6.47,0.0,&nbsp;,&nbsp;
35524,Sam Ficken,3200.00,MIA,K,NYJ,72887,6.39,2.0,&nbsp;,&nbsp;
36831,Jake Elliott,8500.00,BAL,K,PHI,72663,6.36,0.75,&nbsp;,&nbsp;
